 Commenter , Information Requested , Type of Information Needed 
 Dr. Resia Pretorius ," Confirmation of ""amyloid"" proteins in ""micro-clots"" and their relation to the ""white fibrous clots"" "," Scientific research, laboratory testing, and expert analysis "
 --- , --- , --- 
 Individual Commenter , Justification for limitations on COVID-19 vaccine use , Data and research supporting or refuting the limitations 
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
 --- , --- , --- 
 Not specified (public comment) , Extended public comment period (at least 4 weeks) , Procedural/Regulatory 
 Not specified (public comment) , Universal access to updated COVID vaccines for all ages , Policy/Recommendation 
 Not specified (public comment) , Full coverage of COVID vaccines by public funds or insurance at regular intervals (at least every 6 months) , Policy/Recommendation 
 Not specified (public comment) , Vaccine schedule that addresses waning efficacy and emerging new strains , Scientific/Technical 
 Not specified (public comment) , Updates to all vaccine types to match emerging variants , Scientific/Technical 
 Not specified (public comment) , Access to all vaccine options from all three manufacturers , Policy/Recommendation 
 Not specified (public comment) ," Support for alternative vaccine delivery methods (e.g., liquids, pills, nasal sprays) ", Scientific/Technical 
 Not specified (public comment) , Recommendations that anticipate future dominant strains and provide equitable access to updated vaccines , Scientific/Technical and Policy/Recommendation 
 Not specified (public comment) , Revival of programs like the CDC bridge program to address access limitations due to financial and demographic constraints , Policy/Recommendation 
 Not specified (public comment) , Accountability from FDA Commissioner Dr. Marty Makary to prioritize public welfare over short-term financial or economic analyses , Accountability/Oversight 
 --- , --- , --- 
 Centers for Disease Control and Prevention (CDC) , Data on the effectiveness of 2-dose vaccination with mRNA COVID-19 vaccines against COVID-19-associated hospitalizations among immunocompromised adults ," Quantitative data, specifically vaccine effectiveness (VE) estimates, confidence intervals, and statistical comparisons "
 CDC ," Information on the characteristics of immunocompromised and immunocompetent patients, including age, vaccination status, and underlying medical conditions ", Demographic and clinical data 
 CDC ," Details on the methodology used to estimate vaccine effectiveness, including the test-negative design, multivariable logistic regression models, and propensity scoring ", Methodological information 
 CDC ," Results on the comparison of vaccine effectiveness between immunocompromised and immunocompetent patients, including stratified analyses by age, vaccine product, and time period ", Comparative data and subgroup analyses 
 CDC , Data on the proportion of patients with laboratory-confirmed SARS-CoV-2 infection among vaccinated and unvaccinated individuals , Epidemiological data 
 --- , --- , --- 
 Not specified , COVID-19 vaccine effectiveness updates , Scientific research/evidence 
 Not specified , Comparison of COVID-19 boosters versus primary series , Scientific research/evidence 
 Not specified , Evaluation of waning SARS-CoV-2 vaccine-induced immunity , Scientific research/evidence 
 Not specified , Information on vaccine programs and bridge initiatives , Government program information 
 Not specified , Potential long-term effects of COVID-19 on the brain , Medical research/evidence 
 Not specified , COVID-19 treatment options , Medical treatment information 
 --- , --- , --- 
 Eric Kikkert ," Review and consideration of the ""Particle Progression"" model as a revised mathematical framework for physics, particularly in relation to pre- and post-Big Bang conditions "," Theoretical framework, mathematical equations, and conceptual explanations "
 Eric Kikkert ," Evaluation of the model's ability to unify physical concepts such as velocity, momentum, weight, entropy, and energy across different cosmic stages "," Comparative analysis, theoretical validation, and experimental verification "
 Eric Kikkert ," Assessment of the model's compatibility with existing physical theories, such as quantum relativity and Einstein's theory of relativity "," Theoretical comparison, conceptual analysis, and mathematical derivation "
 Eric Kikkert ," Consideration of the potential implications and applications of the ""Particle Progression"" model in advancing human understanding of the universe's fundamental nature "," Theoretical implications, predictive power, and potential areas of research "
 --- , --- , --- 
 Valerie Moseley , Universal access to updated COVID vaccines for individuals of all ages , Policy Change 
,,
,,
,,
,,
,,
,,
,,
,,
 --- , --- , --- 
 Not specified , Ensure a four-week public comment period before an upcoming committee meeting , Procedural 
 Not specified , Ensure universal access to updated COVID vaccines , Policy 
 Not specified , Recommend vaccines for individuals of all ages , Guidance 
 Not specified , Ensure vaccines are fully covered by public funds or insurance at a regular interval of at least every six months , Financial/Insurance 
 Not specified , Update vaccines to match emerging variants , Scientific/Technical 
 Not specified , Ensure access to all vaccine options made by all three manufacturers , Access/Availability 
 Not specified ," Support vaccine options beyond injections (e.g., liquids, pills, nasal sprays) ", Scientific/Technical 
 Not specified , Provide recommendations that anticipate the next dominant strain in the next six months , Scientific/Technical 
 Not specified , Address access limitations due to financial and demographic constraints , Policy/Social 
 Not specified , Ensure accountability for FDA decisions and consideration of long-term public welfare outcomes , Oversight/Accountability 
 --- , --- , --- 
 ECRI , Data on rates of severe adverse events (AEs) in patients with cancer who undergo DPYD testing compared to those who receive standard care without testing ," Clinical utility, outcomes data, comparative effectiveness "
 ECRI ," Studies that address the clinical utility of DPYD testing in reducing AEs and improving patient-oriented outcomes, including overall survival, treatment-related mortality, and severe adverse events "," Clinical evidence, systematic reviews, meta-analyses "
 ECRI ," Information on the clinical validity and clinical utility of DPYD testing, including data on analytic validity, clinical sensitivity, clinical specificity, and positive and negative predictive values "," Diagnostic accuracy, test performance, clinical validity "
 ECRI ," Data on the effectiveness of genotype-guided dose reductions in avoiding severe AEs and improving overall survival, including studies that stratify outcomes by cancer type, DPYD variant, and drug "," Comparative effectiveness, outcomes research, pharmacogenomics "
 ECRI ," Evidence on the clinical utility of DPYD testing in the preemptive setting, including data on predictable and preventable severe AEs and treatment-related mortality "," Clinical decision-making, risk assessment, preventive care "
 --- , --- , --- 
" Courtney Bugler, President and CEO of ZERO Prostate Cancer ", Consideration of patient impact of the proposed treatment (TALZENNA in combination with enzalutamide) for metastatic castration-resistant prostate cancer (mCRPC) ," Regulatory consideration, Patient-centered data, Treatment efficacy and safety data "
" Courtney Bugler, President and CEO of ZERO Prostate Cancer ", Timely regulatory decisions to support access to innovative prostate cancer treatments ," Regulatory timeline, Approval process "
" Courtney Bugler, President and CEO of ZERO Prostate Cancer ", Data on the survival benefits and quality of life improvements of the proposed treatment ," Clinical trial data, Survival benefits, Quality of life metrics "
" Courtney Bugler, President and CEO of ZERO Prostate Cancer ", Consideration of the patient's perspective and experiences with prostate cancer treatment ," Patient testimonials, Real-world evidence, Patient-reported outcomes "
 --- , --- , --- 
 American Association of Pro-Life Obstetricians and Gynecologists (AAPLOG) ," Comprehensive understanding of adverse events associated with mifepristone use, including fatalities "," Real-world data, post-marketing surveillance, and adverse event reporting "
 AAPLOG , Impartial analysis of real-world data to assess mifepristone's safety and true complication rate ," Insurance claims data, anonymized patient information, and statistically sound analysis "
 AAPLOG ," Review of robust, high-quality insurance-based data sources to assess mifepristone's real-world complication rate "," Replicable data, specific diagnosis and healthcare codes (ICD-10), and emergency room visit data "
 AAPLOG , Thorough post-marketing surveillance under current use with robust education of medical professionals ," Ongoing monitoring of adverse events, updates to drug labeling, and potential reevaluation of approval or marketing decisions "
 AAPLOG ," Comparative safety data between mifepristone and other medications, such as Tylenol "," Scientifically appropriate and statistically sound data, head-to-head studies, and clinically relevant comparisons "
 AAPLOG ," Data on the safety and efficacy of ""telehealth"" abortion protocols "," Studies comparing in-person and online dispensing methods, patient outcomes, and complication rates "
 AAPLOG , Information on the ability of advanced practice clinicians (APCs) to provide abortion-inducing drugs ," Data on APCs' ability to perform surgical completions, provide follow-up care, and ensure patient safety "
 --- , --- , --- 
 Not specified (public commenter) , Extended public comment period of at least 4 weeks , Procedural 
 Not specified (public commenter) , Universal access to updated COVID vaccines for all ages , Policy/Regulatory 
 Not specified (public commenter) , Full coverage of COVID vaccines by public funds or insurance at regular intervals (at least every 6 months) , Policy/Regulatory 
 Not specified (public commenter) , Vaccine schedule that addresses waning efficacy and emerging new SARS-CoV-2 strains , Scientific/Technical 
 Not specified (public commenter) , Updates to all vaccine types to match emerging variants , Scientific/Technical 
 Not specified (public commenter) , Access to all vaccine options from all manufacturers , Policy/Regulatory 
 Not specified (public commenter) ," Support for alternative vaccine delivery methods (e.g., liquids, pills, nasal sprays) ", Scientific/Technical 
 Not specified (public commenter) , Recommendations that anticipate future dominant strains and ensure manufacturer matching , Scientific/Technical 
 Not specified (public commenter) ," Equitable and affordable access to updated vaccines, addressing financial and demographic constraints ", Policy/Regulatory 
 Not specified (public commenter) , Revival of programs like the CDC Bridge Program to ensure no-cost access to vaccines , Policy/Regulatory 
 Not specified (public commenter) , Accountability from FDA Commissioner Dr. Marty Makary to prioritize public welfare over short-term financial analyses , Administrative/Accountability 
 --- , --- , --- 
 Unspecified , Universal access to updated COVID vaccines , Policy change 
 Unspecified , Recommendation for vaccination for individuals of all ages , Medical guidance 
 Unspecified , Full coverage of vaccines by public funds or insurance at regular intervals (at least every 6 months) , Financial and insurance policy 
 Unspecified , Vaccine schedule addressing waning efficacy and emerging strains , Medical guidance 
 Unspecified , Updates to all vaccine types to match emerging variants , Scientific research and development 
 Unspecified , Access to all vaccine options from all three manufacturers , Policy change 
 Unspecified ," Support for vaccine options beyond injections (e.g., liquids, pills, or nasal sprays) ", Scientific research and development 
 Unspecified , Recommendations anticipating the next dominant strain , Scientific forecasting and modeling 
 Unspecified , Equitable and affordable access to updated vaccines , Policy change and financial support 
 Unspecified , Programs to address access limitations due to financial and demographic constraints , Policy change and program development 
 Unspecified , Accountability from FDA commissioner for supporting public needs and long-term outcomes , Administrative accountability 
 Unspecified , Four-week public comment period before committee meetings , Procedural change 
 --- , --- , --- 
" Robert M. Rifkin, MD, FACP ", Approval of Belantamab Mafodotin in combination with bortezomib and dexamethasone or with pomalidomide and dexamethasone for patients with multiple myeloma , Regulatory approval and consideration of benefit-risk profile 
" Robert M. Rifkin, MD, FACP "," Education and resources for stakeholders (including patients, medical oncologists, and hematologists) on the use and management of Belantamab Mafodotin ", Educational and support materials to ensure successful use of the drug 
" Robert M. Rifkin, MD, FACP "," Consideration of accessibility and availability of Belantamab Mafodotin for patients in community settings, particularly those without access to large cancer centers or infusion centers "," Accessibility and equity in healthcare, particularly for patients with limited access to specialized care "
 --- , --- , --- 
 Erik Renz ," Enhance Surveillance: budget for monitoring infectious diseases, tracking vaccine efficacy, and variant emergence "," Quantitative data, funding information "
 Erik Renz , Draft protective policy: robust studies on vaccine safety in immunocompetent populations ," Scientific research, study data "
 Erik Renz ," Promote Trust: communication with global public health agencies, CDC, and state public health departments "," Transparency, communication protocols "
 Erik Renz ," Economic data: cost-effectiveness of vaccination, return on investment, and potential economic disruptions "," Economic analysis, cost-benefit data "
 Erik Renz ," Public health data: transmission risk, vaccination coverage, and potential impact on vulnerable populations "," Epidemiological data, public health statistics "
 Erik Renz ," Clarification on policy changes: rationale behind changes, impact on individual freedoms, and scientific basis for decisions "," Policy explanation, scientific justification "
 --- , --- , --- 
 Not specified (likely a public health advocate or organization) , Extension of public comment period to 4 weeks , Procedural 
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
 --- , --- , --- 
 TRIBUNAL ADMINISTRATIF DU QUÉBEC , Medical history and psychiatric evaluations of the accused ," Personal medical information, psychiatric diagnoses, and treatment history "
 Docteure Chantale Bouchard ," Accused's personal and family history, psychiatric symptoms, and treatment outcomes "," Personal and family history, psychiatric symptoms, and treatment outcomes "
 Various psychiatrists and psychologists ," Accused's mental health history, treatment plans, and responses to treatment "," Personal medical information, treatment plans, and treatment outcomes "
 --- , --- , --- 
 MAHA Action (Del Bigtree) ," None explicitly stated, but implies support for RFK Jr.'s internal policy agenda and health freedom advocacy "," General support and advocacy for health policy reform, no specific data or technical information requested "
 --- , --- , --- 
" David E. Hayes-Bautista, Ph.D., Paul Hsu, M.P.H., Ph.D., Giselle D. Hernández (Center for the Study of Latino Health and Culture, UCLA Health) ", COVID-19 mortality rates by race/ethnicity and age group , Quantitative data 
,,
,,
,,
,,
 --- , --- , --- 
 International Pharmaceutical Excipients Council of the Americas (IPEC-Americas) ," Clarification on scope of draft guidance (e.g., does it only cover changes in colors used in the core of a tablet or other dosage forms?) ", Clarification on scope 
 IPEC-Americas , Inclusion of Modified-Release (MR) drug products in the draft guidance , Inclusion of specific dosage forms 
 IPEC-Americas , Justification for exception using the 505(b)(2) pathway , Regulatory clarification 
 IPEC-Americas , Explanation of how replacing a color additive would create a different drug product , Regulatory clarification 
 IPEC-Americas , Guidance on managing diluents to avoid misinterpretation , Technical clarification 
 IPEC-Americas , Definition of removal of a color additive as a minor change , Regulatory clarification 
 IPEC-Americas , Emphasis on importance of product colors for patient safety and medication adherence , Emphasis on safety consideration 
 IPEC-Americas , Clarification on acceptance of color additives not listed in the Inactive Ingredient Database (IID) , Regulatory clarification 
 IPEC-Americas , Revision of language to ensure clarity that replacement of color additives does not interfere with analytical methods , Technical clarification 
 IPEC-Americas , Recommendation for phase-in/phase-out process for replacing color additives , Implementation guidance 
 --- , --- , --- 
 Not specified , Data or results from two recent depopulation studies , Scientific evidence or research data 
 --- , --- , --- 
 Karen Kingston (The Kingston Report) ," Data on the effectiveness of COVID-19 injections in preventing infection, reducing contagiousness, and reducing transmission "," Scientific evidence, clinical trial data, and epidemiological studies "
 Karen Kingston (The Kingston Report) ," Information on serious adverse events reported after COVID-19 inoculation, including respiratory failure, blood clotting, heart attacks, and neurological disorders "," Adverse event reports, post-marketing surveillance data, and medical records "
 Karen Kingston (The Kingston Report) , Clarification on the attribution of serious adverse events to COVID-19 injections versus COVID-19 disease ," Medical expert opinions, diagnostic criteria, and epidemiological studies "
 Karen Kingston (The Kingston Report) , Evidence of intentional actions by governments and medical communities to cover-up harm caused by COVID-19 injections ," Investigative reports, whistleblowers' testimony, and documentary evidence of wrongdoing "
 Karen Kingston (The Kingston Report) ," Data on the risk-benefit profile of COVID-19 injections, particularly for healthy individuals under 60 "," Risk assessment studies, cost-benefit analyses, and epidemiological models "
 --- , --- , --- 
 Peter Pitts ," Data on the safety and efficacy of unapproved prescription fluoride products, particularly in pediatric populations "," Scientific evidence, specifically robust data from comprehensive studies and real-world electronic health records "
 Peter Pitts , A thorough review of the benefits and risks of fluoride-containing products by a blue-ribbon panel of experts , Expert opinion and analysis 
 Peter Pitts , Utilization of the FDA's artificial intelligence program (Elsa) to study real-world outcomes of unapproved fluoride products , Technical analysis and data analysis 
 --- , --- , --- 
 Kristie Estes , Consideration of patient experiences and medical histories in FDA decision-making regarding treatments for AntiSynthetase Syndrome and related conditions ," Patient-centric data, treatment efficacy, and regulatory guidance "
 --- , --- , --- 
 Unknown (healthcare professional) , Extend the public comment period to at least four weeks before the FDA VRBPAC meeting , Procedural 
 Unknown (healthcare professional) , Ensure universal access to updated COVID vaccines for individuals of all ages , Policy 
 Unknown (healthcare professional) , Require vaccines to be fully covered by public funds or insurance at regular intervals (every six months) , Funding/Reimbursement 
 Unknown (healthcare professional) , Update vaccine schedules to address waning efficacy and emerging new SARS-CoV-2 strains , Scientific/Regulatory 
 Unknown (healthcare professional) , Ensure access to all COVID vaccine options from all manufacturers , Availability/Access 
 Unknown (healthcare professional) ," Support development of alternative vaccine delivery methods (e.g., liquids, pills, or nasal sprays) ", Research and Development 
 Unknown (healthcare professional) , Provide recommendations that anticipate the next dominant strain in the next six months , Predictive/Proactive Guidance 
 Unknown (healthcare professional) , Address access limitations due to financial and demographic constraints through programs like the CDC Bridge Program , Equity/Accessibility 
 Unknown (healthcare professional) , Hold Dr. Marty Makary accountable for supporting advisory committees and prioritizing long-term public welfare outcomes , Accountability/Transparency 
 --- , --- , --- 
 Not specified (public commenter) , A four-week public comment period before the FDA VRBPAC meeting , Procedural 
 Not specified (public commenter) , Universal access to updated COVID vaccines for all ages , Policy 
 Not specified (public commenter) , Vaccines to be fully covered by public funds or insurance at regular intervals (at least every 6 months) , Financial/Payment 
 Not specified (public commenter) , Vaccine schedule that addresses waning efficacy and emerging new strains , Scientific/Technical 
 Not specified (public commenter) , Updates to all vaccine types to match emerging variants , Scientific/Technical 
 Not specified (public commenter) , Access to all vaccine options made by all three manufacturers , Supply Chain/Manufacturing 
 Not specified (public commenter) ," Support for vaccine options beyond injections (e.g., liquids, pills, nasal sprays) ", Scientific/Technical 
 Not specified (public commenter) , Recommendations that anticipate the next dominant strain in the next 6 months , Scientific/Technical 
 Not specified (public commenter) ," Equitable and affordable access to updated vaccines, addressing financial and demographic constraints ", Policy/Financial 
 Not specified (public commenter) , Revival of programs like the CDC Bridge Program to ensure no-cost access to vaccines , Policy/Financial 
 Not specified (public commenter) ," FDA decisions based on long-term public welfare outcomes, rather than short-term financial analyses ", Decision-Making Criteria 
 --- , --- , --- 
 Not specified (individual with a family member having multiple sclerosis) , Ensure a four-week public comment period before the FDA VRBPAC meeting , Procedural information 
 Not specified (individual with a family member having multiple sclerosis) , Universal access to updated COVID vaccines for individuals of all ages , Policy recommendation 
 Not specified (individual with a family member having multiple sclerosis) , Vaccines to be fully covered by public funds or insurance at a regular interval of at least every six months , Financial and access information 
 Not specified (individual with a family member having multiple sclerosis) , Vaccine schedule to address waning efficacy and emergence of new SARS-CoV-2 strains , Scientific and medical information 
 Not specified (individual with a family member having multiple sclerosis) , Updates to all vaccine types to match emerging variants , Scientific and medical information 
 Not specified (individual with a family member having multiple sclerosis) , Ensuring access to all vaccine options made by all manufacturers , Access and availability information 
 Not specified (individual with a family member having multiple sclerosis) ," Support for vaccine options beyond injection (e.g., liquids, pills, or nasal sprays) ", Product development and innovation information 
 Not specified (individual with a family member having multiple sclerosis) , Recommendations to anticipate the next dominant strain in the next six months , Scientific and medical information 
 Not specified (individual with a family member having multiple sclerosis) ," Equitable and affordable access to updated vaccines, addressing financial and demographic constraints ", Access and availability information 
 Not specified (individual with a family member having multiple sclerosis) , Revival of programs like the CDC bridge program to ensure no-cost access to vaccines , Policy recommendation and access information 
 --- , --- , --- 
 --- , --- , --- 
 Not specified (individual commenter) , Extension of public comment period to at least four weeks , Procedural/timeframe information 
 Not specified (individual commenter) , Universal access to updated COVID vaccines for all ages , Policy/recommendation information 
 Not specified (individual commenter) , Full coverage of COVID vaccines by public funds or insurance at regular intervals (at least every six months) , Financial/logistical information 
 Not specified (individual commenter) , Updates to vaccine schedules to address waning efficacy and emerging variants , Scientific/technical information 
 Not specified (individual commenter) ," Continued support for vaccine options beyond injections (e.g., liquids, pills, nasal sprays) ", Scientific/technical information 
 Not specified (individual commenter) ," Removal of barriers to vaccine access, including recommendations on who and when access is available ", Policy/recommendation information 
 Not specified (individual commenter) , Anticipation of next dominant strain and matching of variants with future vaccine updates , Scientific/technical information 
 Not specified (individual commenter) ," Equitable and affordable access to updated vaccines, including programs to address financial and demographic constraints ", Policy/recommendation information 
 --- , --- , --- 
 Society of American Gastrointestinal and Endoscopic Surgeons (SAGES) ," Clear and standardized labeling for mesh products, including base material, presence of barrier coating, and mesh density ", Specific product information to reduce implant errors and improve patient safety 
 --- , --- , --- 
 Not specified (likely a public health advocate or organization) , Ensure a four-week public comment period before committee meetings , Procedural/Regulatory 
 Not specified ," Universal access to updated COVID vaccines for all ages, fully covered by public funds or insurance, at regular intervals (every six months) ", Policy/Regulatory 
 Not specified , Vaccine schedule addressing waning efficacy and emerging new SARS-CoV-2 strains , Scientific/Technical 
 Not specified ," Updates to all vaccine types to better match emerging variants, ensuring access to all options from all manufacturers ", Scientific/Technical 
 Not specified ," Support for vaccine options beyond injections (e.g., liquids, pills, or nasal sprays) ", Scientific/Technical 
 Not specified ," Recommendations anticipating the next dominant strain in the next six months, with manufacturers matching variants ", Scientific/Technical 
 Not specified ," Equitable and affordable access to updated vaccines, addressing financial and demographic constraints ", Policy/Regulatory 
 Not specified , Accountability from FDA Commissioner Dr. Marty Makary to prioritize public welfare over short-term financial or economic analyses , Administrative/Accountability 
 --- , --- , --- 
 International Association of Providers of AIDS Care (IAPAC) , Prioritization of vulnerable populations in vaccine composition and rollout decisions , Policy/Guideline Adjustment 
 International Association of Providers of AIDS Care (IAPAC) , Accessibility of updated COVID-19 vaccines for disproportionately affected populations , Implementation/Logistical Support 
 International Association of Providers of AIDS Care (IAPAC) ," Inclusion of people living with HIV in ongoing COVID-19 vaccine research, including immunogenicity and efficacy studies ", Research/Data Collection 
 --- , --- , --- 
 Not specified (public commenter) , Ensure a four-week public comment period before the committee meeting , Procedural change 
 Not specified (public commenter) , Universal access to updated COVID vaccines for all ages , Policy recommendation 
 Not specified (public commenter) , Vaccines to be fully covered by public funds or insurance at a regular interval of at least every six months , Funding and insurance coverage 
 Not specified (public commenter) , Vaccine schedule to address waning efficacy and emergence of new SARS-CoV-2 strains , Scientific data and vaccine development 
 Not specified (public commenter) , Updates to all vaccine types to match emerging variants , Vaccine development and manufacturing 
 Not specified (public commenter) , Access to all vaccine options made by all three manufacturers , Vaccine availability and distribution 
 Not specified (public commenter) ," Support for vaccine options beyond injections (e.g., liquids, pills, or nasal sprays) ", Alternative vaccine delivery methods 
 Not specified (public commenter) , Recommendations for equitable and affordable access to updated vaccines , Policy and program development 
 Not specified (public commenter) , Addressing access limitations due to financial and demographic constraints , Social and economic data 
 Not specified (public commenter) , Revival of programs like the CDC Bridge Program for no-cost access to vaccines , Program development and funding 
 Not specified (public commenter) , FDA decisions to prioritize long-term public welfare over short-term financial or economic analyses , Decision-making framework 
 --- , --- , --- 
 International Society for Pharmacoepidemiology , Challenges in submitting clinical study data collected from RWD sources to FDA ," Qualitative, descriptive information on current state of RWD submissions "
 International Society for Pharmacoepidemiology , Opportunities and challenges for pharmaceutical industry in reaching a future state of clinical study data submissions using HL7 FHIR ," Qualitative, descriptive information on potential benefits and limitations of HL7 FHIR for RWD submissions "
 International Society for Pharmacoepidemiology , Technical considerations and business processes for implementing HL7 FHIR for RWD submissions ," Technical, operational information on implementing HL7 FHIR for clinical research "
 International Society for Pharmacoepidemiology ," Data quality, traceability, and provenance for RWD submissions "," Quantitative, technical information on data quality and provenance "
 International Society for Pharmacoepidemiology , Opportunities for improving RWD capture and exchange using HL7 FHIR ," Qualitative, descriptive information on potential benefits of HL7 FHIR for clinical research "
 International Society for Pharmacoepidemiology ," Limitations of HL7 FHIR, including representation of derived variables and inconsistent adoption "," Technical, operational information on limitations of HL7 FHIR "
 International Society for Pharmacoepidemiology , Need for standardization and operational stakeholders to address gaps in FHIR-based research tools and methods ," Qualitative, descriptive information on need for standardization and operational support "
 --- , --- , --- 
 Not specified , VAERS results for COVID-19 vaccines , Adverse event data 
 Not specified , Peer-reviewed papers on spike protein damage to vascular cells , Scientific research on vaccine safety 
 Not specified , Mechanism of spike protein causing blood clots , Scientific research on vaccine safety 
 Not specified , Evidence of COVID-19 vaccines causing cancers and autoimmune disorders , Scientific research on vaccine safety and potential long-term effects 
 --- , --- , --- 
 Karen Kingston ," Documentation of the FDA's consideration of the risks associated with COVID-19 mRNA-LNP injections, particularly regarding nervous system diseases, cardiac diseases, blood and circulatory diseases, musculoskeletal diseases, reproductive and pregnancy disorders, autoimmune diseases, and death. ", Risk assessment and safety evaluation data 
 Karen Kingston ," Records of the FDA's meetings with manufacturers, including Pfizer and Moderna, to discuss the tracking of unreasonable and significant risks of illnesses, injuries, diseases, and deaths caused by the COVID-19 mRNA-LNP injections. ", Meeting minutes and transcripts 
 Karen Kingston ," Data on the reproductive harm caused by the mRNA-LNP technology injections, including studies on ovarian reserve and fertility. ", Scientific research and study data 
 Karen Kingston ," Information on the FDA's emergency use authorization (EUA) criteria and how they were applied to the COVID-19 mRNA-LNP injections, including the known and potential benefits and risks of the product. ", Regulatory guidance and EUA criteria 
 Karen Kingston ," Adverse event reports from various sources, including Pfizer's internal documents, the CDC's V-Safe program, and the Vaccine Adverse Event Reporting System (VAERS). ", Adverse event data and reports 
 Karen Kingston ," Assessment of the hazard to various segments of the population, including children, pregnant women, and individuals with certain health conditions, and the likelihood of occurrence of the hazard. ", Risk assessment and population-specific data 
 Karen Kingston ," Documentation of the FDA's authority to issue a Class 1 recall and the criteria for doing so, including the assessment of the degree of seriousness of the health hazard and the consequences of occurrence. ", Regulatory guidance and recall criteria 
 Karen Kingston ," Statement from FDA Commissioner Marty Makary regarding the ""void of science"" at the FDA and the commitment to gold-standard science. ", Regulatory guidance and scientific evaluation criteria 
 --- , --- , --- 
 Dr. Al-Aly , Data on the long-term effects of COVID-19 vaccines on Long COVID risk ," Quantitative data, statistical analysis "
 Dr. Roberts , Information on the relationship between COVID-19 vaccination and metabolic disorders ," Clinical data, research findings "
 Dr. Iwasaki , Details on the evolution of SARS-CoV-2 and its impact on Long COVID risk ," Scientific research, epidemiological data "
" Lisa Sanders, MD ", Guidance on vaccination recommendations for individuals at low risk of complications ," Expert opinion, medical advice "
 Yale Medicine , Information on the economic impact of Long COVID and its effects on various organ systems ," Economic data, research findings "
 --- , --- , --- 
 Datavant , Clarification on provenance requirements for real-world data submissions , Regulatory Guidance 
 Datavant , Standardization of data formats for real-world data submissions , Technical Standardization 
 Datavant , Guidance on the use of HL7 FHIR for real-world data submissions , Technical Implementation 
 Datavant ," Clarity on the integration of unstructured data, such as images and genomics, with clinical trials ", Technical Integration 
 Datavant , Resolution of variability in FHIR API implementations across certified health IT developers , Technical Standardization 
 Datavant , Transparency in pricing practices for health data APIs , Economic/Financial Information 
 Datavant , Development of comprehensive documentation of data activities for inspection , Regulatory Compliance 
 Datavant ," Standardization of data types and linkages, including clinical notes and unstructured text ", Technical Standardization 
 Datavant ," Development of technical considerations for efficient RWD acquisition, including traceability and provenance ", Technical Implementation 
 --- , --- , --- 
 Not specified , Data on the impact of restricting vaccination based on age and health condition , Quantitative data to support the argument against restrictions 
 Not specified , Information on vaccination rates among adults and children , Statistical data to highlight the low vaccination rates 
 Not specified , Guidance on frequent vaccination approaches and updates to match current variants , Scientific or medical information to support a more frequent vaccination approach 
 Not specified , Information on the eligibility criteria for COVID vaccines , Regulatory or policy information to understand current restrictions 
 Not specified , Data on the impact of cost and restrictions on access to COVID vaccines , Economic or social data to highlight the barriers to access 
 --- , --- , --- 
 Cory Watson Law Firm , Completion of Plaintiff Profile Form (PPF) and Supplemental Plaintiff Profile Form (SPPF) , Documentary evidence of plaintiff's Abilify use and alleged injuries 
 Cory Watson Law Firm , Medical records documenting Abilify use and alleged injuries , Medical records and documentation 
 Cory Watson Law Firm ," Financial, gambling, and other records documenting plaintiff's situation before, during, and after Abilify use ", Financial and behavioral records 
 Cory Watson Law Firm , Certification of good faith effort to obtain and review relevant records , Compliance with court orders and certification 
 Cory Watson Law Firm ," Discussion of obligations for participation in litigation, including deposition and trial preparation ", Understanding of litigation process and requirements 
 Cory Watson Law Firm , Identification of key physicians who prescribed Abilify and documentation of their treatment , Medical records and identification of key physicians 
 Cory Watson Law Firm , Certification of good faith and reasonable basis to proceed with the action , Compliance with court orders and certification 
 Cory Watson Law Firm , Notification of Defendants and the Court of intention to opt-out of settlement and withdrawal as counsel , Notification and compliance with court orders 
 --- , --- , --- 
 Diana V-L ," Concrete data to support the efficacy and benefit of structured meetings (e.g., Type D and INTERACT) and programs like the Split Real-Time Application Review (STAR) "," Quantitative data, research findings "
 Diana V-L ," Increased transparency in regulatory language, using terms like ""pharmaceutical manufacturers"" or ""industry sponsors"" instead of ""sponsors"" "," Clarification of terminology, language revision "
 Diana V-L ," Post-market surveillance data to ensure efficacy of newly marketed drugs, particularly for expensive drugs with direct-to-consumer marketing "," Quantitative data, research findings "
 Diana V-L ," Allocation of user fee revenues to study the impact of drug pricing and access disparities, especially among Medicaid populations and rural communities "," Financial data, allocation plans "
 Diana V-L , Expansion of post-market surveillance with Real-World Evidence (RWE) frameworks that consider social determinants of health ," Research plans, framework development "
 Diana V-L ," Increased financial transparency, including annual public disclosures of user fee allocations "," Financial data, transparency reports "
 Diana V-L ," Earmarking a percentage of user fees for public-interest research, such as generic competition acceleration or rare disease registries "," Financial data, allocation plans "
 Diana V-L ," Embedding health equity metrics in PDUFA VIII, including data on affordability, accessibility, and transparency "," Quantitative data, research findings, policy development "
 --- , --- , --- 
 Not specified (individual commenter) ," Universal access to updated COVID vaccines for all ages, full coverage by public funds and/or insurance, and recommendation for vaccination at least every six months ", Policy/Regulatory Change 
 Not specified (individual commenter) , Removal of restrictions on access to vaccinations matched to emerging variants , Policy/Regulatory Change 
